Region ID,Region name,objects_total,n_animals,relative_abundance_z,rel_abundance_method,reference_mean,reference_std
136,Intermediate reticular nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
137,"Superior central nucleus raphe, lateral part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
138,Lateral group of the dorsal thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
139,"Entorhinal area, lateral part, layer 5",1,6,-0.0601339146513822,reference,2.4110105580693815,23.46447202463891
140,cerebral aqueduct,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
141,Periventricular region,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
142,pallidothalamic pathway,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
143,"Nucleus ambiguus, ventral division",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
144,"Olfactory tubercle, layers 1-3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
145,fourth ventricle,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
146,Pontine reticular nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
147,Locus ceruleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
148,"Gustatory areas, layer 4",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
149,Paraventricular nucleus of the thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
150,periventricular bundle of the hypothalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
151,Accessory olfactory bulb,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
152,"Piriform area, layers 1-3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
153,lateral recess,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
154,Perihypoglossal nuclei,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
155,Lateral dorsal nucleus of thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
156,"Dorsal auditory area, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
157,Periventricular zone,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
158,posterior commissure,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
159,Anterior olfactory nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
160,"Anterior olfactory nucleus, layer 1",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
161,Nucleus intercalatus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
162,Laterodorsal tegmental nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
163,"Agranular insular area, posterior part, layer 2/3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
164,"central canal, spinal cord/medulla",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
165,Midbrain raphe nuclei,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
166,premammillary commissure,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
167,"Anterior olfactory nucleus, dorsal part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
168,"Anterior olfactory nucleus, layer 2",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
169,Nucleus prepositus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
170,Dorsal part of the lateral geniculate complex,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
171,"Prelimbic area, layer 1",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
173,Retrochiasmatic area,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
174,preoptic commissure,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
175,"Anterior olfactory nucleus, external part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
177,Nucleus of Roller,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
178,Ventral part of the lateral geniculate complex,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
